Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE Category A staff submitted,4*,3*,2*,1*,unclassified
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,11.3,10,72,18,0,0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,13.7,7,45,30,18,0
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Overall,7.25,0,25,39,20,16
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Overall,8,0,34,60,6,0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Overall,8,8,21,45,26,0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,17.5,13,41,43,3,0
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Overall,14.2,6,45,37,9,3
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Overall,10.2,2,26,54,14,4
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Overall,14.31,7,21,53,19,0
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Overall,5.2,0,26,45,26,3
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Overall,16.8,8,37,45,10,0
10000291,Anglia Ruskin University,10,D,30,History, ,,,Overall,5.5,8,26,44,14,8
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,13.9,4,43,44,9,0
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,13.8,12,34,32,19,3
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,8.7,12,46,42,0,0
10007759,Aston University,20,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,56.8,45,49,5,0,1
10007759,Aston University,20,B,11,Computer Science and Informatics, ,,,Overall,18.2,16,45,39,0,0
10007759,Aston University,20,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Overall,24,16,55,28,1,0
10007759,Aston University,20,B,15,General Engineering, ,,,Overall,23.63,15,57,24,4,0
10007759,Aston University,20,C,19,Business and Management Studies, ,,,Overall,46.3,30,48,21,1,0
10007759,Aston University,20,D,27,Area Studies, ,,,Overall,12,27,54,19,0,0
10007759,Aston University,20,D,28,Modern Languages and Linguistics, ,,,Overall,18.5,24,38,32,6,0
10007850,University of Bath,30,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,54.2,51,40,8,1,0
10007850,University of Bath,30,A,5,Biological Sciences, ,,,Overall,24.5,23,62,14,0,1
10007850,University of Bath,30,B,8,Chemistry, ,,,Overall,33.1,25,73,2,0,0
10007850,University of Bath,30,B,9,Physics, ,,,Overall,23,25,66,9,0,0
10007850,University of Bath,30,B,10,Mathematical Sciences, ,,,Overall,44.4,26,62,10,2,0
10007850,University of Bath,30,B,11,Computer Science and Informatics, ,,,Overall,24,11,71,17,1,0
10007850,University of Bath,30,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Overall,61,19,70,11,0,0
10007850,University of Bath,30,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Overall,20.5,13,78,9,0,0
10007850,University of Bath,30,C,16,"Architecture, Built Environment and Planning", ,,,Overall,28.38,50,40,8,2,0
10007850,University of Bath,30,C,19,Business and Management Studies, ,,,Overall,64.9,41,43,12,3,1
10007850,University of Bath,30,C,22,Social Work and Social Policy, ,,,Overall,35.55,46,34,18,1,1
10007850,University of Bath,30,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,22,47,43,10,0,0
10007850,University of Bath,30,D,27,Area Studies, ,,,Overall,26,23,45,23,8,1
10000571,Bath Spa University,40,C,25,Education, ,,,Overall,13.2,5,30,43,19,3
10000571,Bath Spa University,40,D,29,English Language and Literature, ,,,Overall,21.05,15,52,26,4,3
10000571,Bath Spa University,40,D,30,History, ,,,Overall,6.2,2,34,44,20,0
10000571,Bath Spa University,40,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,14.17,12,35,44,8,1
10000571,Bath Spa University,40,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,12,26,32,27,15,0
10000571,Bath Spa University,40,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,7.4,13,51,28,8,0
10007152,University of Bedfordshire,50,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,24.9,24,49,23,3,1
10007152,University of Bedfordshire,50,B,7,Earth Systems and Environmental Sciences, ,,,Overall,4.8,0,15,67,18,0
10007152,University of Bedfordshire,50,B,11,Computer Science and Informatics, ,,,Overall,34.6,5,33,52,10,0
10007152,University of Bedfordshire,50,C,19,Business and Management Studies, ,,,Overall,14,7,30,55,8,0
10007152,University of Bedfordshire,50,C,20,Law, ,,,Overall,5.2,0,25,44,24,7
10007152,University of Bedfordshire,50,C,22,Social Work and Social Policy, ,,,Overall,14.2,30,48,19,3,0
10007152,University of Bedfordshire,50,C,25,Education, ,,,Overall,8.4,12,25,40,23,0
10007152,University of Bedfordshire,50,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,19.4,9,32,51,7,1
10007152,University of Bedfordshire,50,D,29,English Language and Literature, ,,,Overall,9,45,33,22,0,0
10007152,University of Bedfordshire,50,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,6.8,11,9,40,29,11
10007152,University of Bedfordshire,50,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,11.5,9,46,36,9,0
10007760,Birkbeck College,60,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,28.35,60,29,8,2,1
10007760,Birkbeck College,60,A,5,Biological Sciences, ,,(joint submission with University College London),Overall,21.2,46,36,16,1,1
10007760,Birkbeck College,60,B,7,Earth Systems and Environmental Sciences, ,,(joint submission with University College London),Overall,9,34,58,7,1,0
10007760,Birkbeck College,60,B,11,Computer Science and Informatics, ,,,Overall,18.8,21,47,20,12,0
10007760,Birkbeck College,60,C,18,Economics and Econometrics, ,,,Overall,25.15,7,52,36,4,1
10007760,Birkbeck College,60,C,19,Business and Management Studies, ,,,Overall,30.1,10,39,42,9,0
10007760,Birkbeck College,60,C,20,Law, ,,,Overall,27.24,24,49,26,1,0
10007760,Birkbeck College,60,C,21,Politics and International Studies, ,,,Overall,12.8,30,42,24,4,0
10007760,Birkbeck College,60,C,23,Sociology, ,,,Overall,26.25,22,49,28,1,0
10007760,Birkbeck College,60,D,28,Modern Languages and Linguistics, ,,,Overall,25.45,22,51,26,1,0
10007760,Birkbeck College,60,D,29,English Language and Literature, ,,,Overall,33.7,23,52,21,3,1
10007760,Birkbeck College,60,D,30,History, ,,,Overall,35.63,35,50,14,0,1
10007760,Birkbeck College,60,D,32,Philosophy, ,,,Overall,12.3,32,41,27,0,0
10007760,Birkbeck College,60,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,21.79,24,47,25,4,0
10006840,University of Birmingham,70,A,1,Clinical Medicine, ,,,Overall,164.15,27,53,18,1,1
10006840,University of Birmingham,70,A,2,"Public Health, Health Services and Primary Care", ,,,Overall,44.7,30,54,14,2,0
10006840,University of Birmingham,70,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,15.9,30,69,1,0,0
10006840,University of Birmingham,70,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,40.8,52,37,11,0,0
10006840,University of Birmingham,70,A,5,Biological Sciences, ,,,Overall,42.8,32,59,7,1,1
10006840,University of Birmingham,70,B,7,Earth Systems and Environmental Sciences, ,,,Overall,28.2,13,80,7,0,0
10006840,University of Birmingham,70,B,8,Chemistry, ,,,Overall,28,11,79,10,0,0
10006840,University of Birmingham,70,B,9,Physics, ,,,Overall,39,23,61,14,2,0
10006840,University of Birmingham,70,B,10,Mathematical Sciences, ,,,Overall,40,15,65,16,0,4
10006840,University of Birmingham,70,B,11,Computer Science and Informatics, ,,,Overall,40.6,29,57,13,0,1
10006840,University of Birmingham,70,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",A,Mechanical Engineering,,Overall,21,14,71,15,0,0
10006840,University of Birmingham,70,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",B,Chemical Engineering,,Overall,32.5,27,60,13,0,0
10006840,University of Birmingham,70,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials",A,"Electronic, Electrical and computer engineering",,Overall,26.2,14,72,12,1,1
10006840,University of Birmingham,70,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials",B,Metallurgy and Materials,,Overall,29.1,31,55,9,4,1
10006840,University of Birmingham,70,B,14,Civil and Construction Engineering, ,,,Overall,18.1,7,59,30,4,0
10006840,University of Birmingham,70,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,25,30,46,22,2,0
10006840,University of Birmingham,70,C,18,Economics and Econometrics, ,,,Overall,24.2,10,59,30,1,0
10006840,University of Birmingham,70,C,19,Business and Management Studies, ,,,Overall,53.1,21,47,27,5,0
10006840,University of Birmingham,70,C,20,Law, ,,,Overall,31.79,29,43,24,4,0
10006840,University of Birmingham,70,C,21,Politics and International Studies, ,,,Overall,47.07,24,39,28,9,0
10006840,University of Birmingham,70,C,22,Social Work and Social Policy, ,,,Overall,34.5,23,53,21,2,1
10006840,University of Birmingham,70,C,25,Education, ,,,Overall,23.7,47,35,15,3,0
10006840,University of Birmingham,70,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,34.4,55,35,9,1,0
10006840,University of Birmingham,70,D,27,Area Studies, ,,,Overall,7.6,44,49,7,0,0
10006840,University of Birmingham,70,D,28,Modern Languages and Linguistics, ,,,Overall,33.1,16,59,24,1,0
10006840,University of Birmingham,70,D,29,English Language and Literature, ,,,Overall,37.2,34,53,11,2,0
10006840,University of Birmingham,70,D,30,History, ,,,Overall,37.2,45,42,13,0,0
10006840,University of Birmingham,70,D,31,Classics, ,,,Overall,20,38,43,18,1,0
10006840,University of Birmingham,70,D,32,Philosophy, ,,,Overall,14,49,34,15,2,0
10006840,University of Birmingham,70,D,33,Theology and Religious Studies, ,,,Overall,9,51,28,17,4,0
10006840,University of Birmingham,70,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,6.2,33,49,15,3,0
10006840,University of Birmingham,70,D,35,"Music, Drama, Dance and Performing Arts",A,Music,,Overall,10.2,38,50,12,0,0
10006840,University of Birmingham,70,D,35,"Music, Drama, Dance and Performing Arts",B,Drama,,Overall,6,30,39,24,4,3
10007140,Birmingham City University,80,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,12.1,5,58,28,5,4
10007140,Birmingham City University,80,B,11,Computer Science and Informatics, ,,,Overall,7.4,8,26,36,22,8
10007140,Birmingham City University,80,C,16,"Architecture, Built Environment and Planning", ,,,Overall,4,14,42,40,4,0
10007140,Birmingham City University,80,C,19,Business and Management Studies, ,,,Overall,4.7,14,29,42,15,0
10007140,Birmingham City University,80,C,20,Law, ,,,Overall,6,0,37,51,12,0
10007140,Birmingham City University,80,C,22,Social Work and Social Policy, ,,,Overall,7.2,0,30,44,24,2
10007140,Birmingham City University,80,C,25,Education, ,,,Overall,7.5,11,28,49,12,0
10007140,Birmingham City University,80,D,29,English Language and Literature, ,,,Overall,12.4,25,52,20,3,0
10007140,Birmingham City University,80,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,32.13,26,43,25,5,1
10007140,Birmingham City University,80,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,17.27,20,49,27,4,0
10007140,Birmingham City University,80,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,11.21,9,58,22,11,0
10007811,Bishop Grosseteste University,100,C,25,Education, ,,,Overall,6,6,22,35,33,4
10007811,Bishop Grosseteste University,100,D,29,English Language and Literature, ,,,Overall,2,8,16,59,14,3
10007811,Bishop Grosseteste University,100,D,30,History, ,,,Overall,3,6,10,58,23,3
10006841,University of Bolton,110,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,5.3,3,24,54,17,2
10006841,University of Bolton,110,B,15,General Engineering, ,,,Overall,14,6,48,46,0,0
10006841,University of Bolton,110,C,16,"Architecture, Built Environment and Planning", ,,,Overall,4.2,3,11,23,47,16
10006841,University of Bolton,110,C,22,Social Work and Social Policy, ,,,Overall,4.1,0,8,33,38,21
10006841,University of Bolton,110,C,25,Education, ,,,Overall,7.4,2,25,54,13,6
10006841,University of Bolton,110,D,29,English Language and Literature, ,,,Overall,6.3,21,19,41,18,1
10006841,University of Bolton,110,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,7.8,2,13,25,47,13
10000385,Arts University Bournemouth,120,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,12.1,7,36,38,18,1
10000824,Bournemouth University,130,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,21.4,10,44,40,4,2
10000824,Bournemouth University,130,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,13,7,48,37,8,0
10000824,Bournemouth University,130,B,15,General Engineering, ,,,Overall,24.8,0,37,57,6,0
10000824,Bournemouth University,130,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,29.5,10,47,41,2,0
10000824,Bournemouth University,130,C,19,Business and Management Studies, ,,,Overall,20.5,16,40,37,7,0
10000824,Bournemouth University,130,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,14,29,55,16,0,0
10000824,Bournemouth University,130,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,13.8,32,41,22,5,0
10000824,Bournemouth University,130,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,24.8,36,40,22,2,0
10007785,University of Bradford,140,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,44,30,62,8,0,0
10007785,University of Bradford,140,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Overall,16.8,9,54,35,1,1
10007785,University of Bradford,140,B,14,Civil and Construction Engineering, ,,,Overall,7.2,14,47,28,3,8
10007785,University of Bradford,140,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,12.8,34,36,30,0,0
10007785,University of Bradford,140,C,19,Business and Management Studies, ,,,Overall,19.2,21,44,32,3,0
10007785,University of Bradford,140,C,21,Politics and International Studies, ,,,Overall,13.4,22,42,22,13,1
10007785,University of Bradford,140,C,22,Social Work and Social Policy, ,,,Overall,10.33,25,39,33,3,0
10000886,University of Brighton,160,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,(joint submission with University of Sussex),Overall,22.5,38,44,16,1,1
10000886,University of Brighton,160,B,7,Earth Systems and Environmental Sciences, ,,,Overall,14.25,4,54,39,3,0
10000886,University of Brighton,160,B,11,Computer Science and Informatics, ,,,Overall,14,6,46,42,6,0
10000886,University of Brighton,160,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Overall,8.5,7,60,26,7,0
10000886,University of Brighton,160,C,19,Business and Management Studies, ,,,Overall,15.8,28,37,27,7,1
10000886,University of Brighton,160,C,22,Social Work and Social Policy, ,,,Overall,27.1,15,43,31,9,2
10000886,University of Brighton,160,C,25,Education, ,,,Overall,7.3,9,36,48,7,0
10000886,University of Brighton,160,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,21.41,23,55,21,1,0
10000886,University of Brighton,160,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,63.9,30,41,24,4,1
10000886,University of Brighton,160,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,14.7,27,41,27,5,0
10007786,University of Bristol,170,A,1,Clinical Medicine, ,,,Overall,84.45,31,48,20,1,0
10007786,University of Bristol,170,A,2,"Public Health, Health Services and Primary Care", ,,,Overall,74.6,50,36,12,2,0
10007786,University of Bristol,170,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,16.18,43,37,18,1,1
10007786,University of Bristol,170,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,68.81,43,37,18,1,1
10007786,University of Bristol,170,A,5,Biological Sciences, ,,,Overall,64.6,33,51,15,0,1
10007786,University of Bristol,170,A,6,"Agriculture, Veterinary and Food Science", ,,,Overall,34.03,35,53,11,0,1
10007786,University of Bristol,170,B,7,Earth Systems and Environmental Sciences, ,,,Overall,44.28,36,62,2,0,0
10007786,University of Bristol,170,B,8,Chemistry, ,,,Overall,58.6,39,57,4,0,0
10007786,University of Bristol,170,B,9,Physics, ,,,Overall,44.15,23,62,15,0,0
10007786,University of Bristol,170,B,10,Mathematical Sciences, ,,,Overall,83.5,43,44,12,1,0
10007786,University of Bristol,170,B,11,Computer Science and Informatics, ,,,Overall,41.6,31,56,12,1,0
10007786,University of Bristol,170,B,15,General Engineering, ,,,Overall,123.38,38,55,6,1,0
10007786,University of Bristol,170,C,17,"Geography, Environmental Studies and Archaeology",A,Geography,,Overall,46.45,51,33,14,2,0
10007786,University of Bristol,170,C,17,"Geography, Environmental Studies and Archaeology",B,Archaeology and Anthropology,,Overall,9.3,4,24,57,15,0
10007786,University of Bristol,170,C,18,Economics and Econometrics, ,,,Overall,18.6,44,44,12,0,0
10007786,University of Bristol,170,C,19,Business and Management Studies, ,,,Overall,27.5,24,54,22,0,0
10007786,University of Bristol,170,C,20,Law, ,,,Overall,39,41,44,14,1,0
10007786,University of Bristol,170,C,21,Politics and International Studies, ,,,Overall,25.8,16,44,33,7,0
10007786,University of Bristol,170,C,22,Social Work and Social Policy, ,,,Overall,35.9,38,42,18,2,0
10007786,University of Bristol,170,C,23,Sociology, ,,,Overall,17,32,44,23,1,0
10007786,University of Bristol,170,C,25,Education, ,,,Overall,34.5,44,36,19,1,0
10007786,University of Bristol,170,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,7,58,42,0,0,0
10007786,University of Bristol,170,D,28,Modern Languages and Linguistics, ,,,Overall,31.1,29,38,26,7,0
10007786,University of Bristol,170,D,29,English Language and Literature, ,,,Overall,21,11,57,25,7,0
10007786,University of Bristol,170,D,30,History, ,,,Overall,18.8,25,48,24,3,0
10007786,University of Bristol,170,D,31,Classics, ,,,Overall,15,29,48,23,0,0
10007786,University of Bristol,170,D,32,Philosophy, ,,,Overall,14.5,31,51,17,1,0
10007786,University of Bristol,170,D,33,Theology and Religious Studies, ,,,Overall,8.6,21,45,32,2,0
10007786,University of Bristol,170,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,8,11,52,35,2,0
10007786,University of Bristol,170,D,35,"Music, Drama, Dance and Performing Arts",A,Drama,,Overall,12.5,34,50,15,1,0
10007786,University of Bristol,170,D,35,"Music, Drama, Dance and Performing Arts",B,Music,,Overall,9,35,39,26,0,0
10000961,Brunel University London,180,A,2,"Public Health, Health Services and Primary Care", ,,,Overall,10.3,20,49,22,6,3
10000961,Brunel University London,180,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,50.6,13,42,40,5,0
10000961,Brunel University London,180,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,22.6,20,39,34,7,0
10000961,Brunel University London,180,B,7,Earth Systems and Environmental Sciences, ,,,Overall,16.2,19,54,23,4,0
10000961,Brunel University London,180,B,10,Mathematical Sciences, ,,,Overall,24.05,11,54,30,5,0
10000961,Brunel University London,180,B,11,Computer Science and Informatics, ,,,Overall,30.5,17,48,27,8,0
10000961,Brunel University London,180,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Overall,63.27,6,63,28,3,0
10000961,Brunel University London,180,B,15,General Engineering, ,,,Overall,63.45,11,58,24,4,3
10000961,Brunel University London,180,C,18,Economics and Econometrics, ,,,Overall,26.2,1,30,57,12,0
10000961,Brunel University London,180,C,19,Business and Management Studies, ,,,Overall,61,12,41,36,10,1
10000961,Brunel University London,180,C,20,Law, ,,,Overall,30.95,6,45,45,4,0
10000961,Brunel University London,180,C,21,Politics and International Studies, ,,,Overall,23.8,19,45,32,4,0
10000961,Brunel University London,180,C,22,Social Work and Social Policy, ,,,Overall,16.1,26,39,27,7,1
10000961,Brunel University London,180,C,23,Sociology, ,,,Overall,12,9,51,40,0,0
10000961,Brunel University London,180,C,24,Anthropology and Development Studies, ,,,Overall,9,18,34,40,8,0
10000961,Brunel University London,180,C,25,Education, ,,,Overall,14.2,13,47,33,7,0
10000961,Brunel University London,180,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,28.9,38,45,13,3,1
10000961,Brunel University London,180,D,29,English Language and Literature, ,,,Overall,23.15,16,48,17,13,6
10000961,Brunel University London,180,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,13,27,40,29,4,0
10000961,Brunel University London,180,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,18.35,25,37,29,6,3
10000961,Brunel University London,180,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,19,12,33,34,20,1
10000975,Buckinghamshire New University,200,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,7.1,2,26,44,22,6
10000975,Buckinghamshire New University,200,C,19,Business and Management Studies, ,,,Overall,2.33,8,33,53,6,0
10000975,Buckinghamshire New University,200,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,5,0,14,52,26,8
10000975,Buckinghamshire New University,200,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,9.6,14,42,31,11,2
10007788,University of Cambridge,220,A,1,Clinical Medicine, ,,,Overall,192.05,58,29,12,0,1
10007788,University of Cambridge,220,A,2,"Public Health, Health Services and Primary Care", ,,,Overall,57.07,50,43,6,0,1
10007788,University of Cambridge,220,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,75.95,58,35,7,0,0
10007788,University of Cambridge,220,A,5,Biological Sciences, ,,,Overall,189.63,52,35,12,0,1
10007788,University of Cambridge,220,A,6,"Agriculture, Veterinary and Food Science", ,,,Overall,39.6,40,40,18,2,0
10007788,University of Cambridge,220,B,7,Earth Systems and Environmental Sciences, ,,,Overall,42.55,40,54,6,0,0
10007788,University of Cambridge,220,B,8,Chemistry, ,,,Overall,62.7,57,40,3,0,0
10007788,University of Cambridge,220,B,9,Physics, ,,,Overall,153.3,38,53,9,0,0
10007788,University of Cambridge,220,B,10,Mathematical Sciences, ,,,Overall,143.77,45,47,7,1,0
10007788,University of Cambridge,220,B,11,Computer Science and Informatics, ,,,Overall,54.6,48,41,10,1,0
10007788,University of Cambridge,220,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Overall,32.3,47,45,7,1,0
10007788,University of Cambridge,220,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Overall,33.56,69,28,2,1,0
10007788,University of Cambridge,220,B,15,General Engineering, ,,,Overall,177.2,53,42,5,0,0
10007788,University of Cambridge,220,C,16,"Architecture, Built Environment and Planning", ,,,Overall,39.09,50,38,9,3,0
10007788,University of Cambridge,220,C,17,"Geography, Environmental Studies and Archaeology",A,Archaeology,,Overall,42.7,35,41,20,4,0
10007788,University of Cambridge,220,C,17,"Geography, Environmental Studies and Archaeology",B,Geography,,Overall,45.7,44,40,14,2,0
10007788,University of Cambridge,220,C,18,Economics and Econometrics, ,,,Overall,27,47,49,3,1,0
10007788,University of Cambridge,220,C,19,Business and Management Studies, ,,,Overall,38.9,60,29,8,1,2
10007788,University of Cambridge,220,C,20,Law, ,,,Overall,75.8,44,44,11,1,0
10007788,University of Cambridge,220,C,21,Politics and International Studies, ,,,Overall,29.5,32,40,25,2,1
10007788,University of Cambridge,220,C,23,Sociology, ,,,Overall,15.87,27,45,27,1,0
10007788,University of Cambridge,220,C,24,Anthropology and Development Studies, ,,,Overall,35.88,31,42,24,2,1
10007788,University of Cambridge,220,C,25,Education, ,,,Overall,34.2,54,24,20,2,0
10007788,University of Cambridge,220,D,27,Area Studies, ,,,Overall,32,30,45,23,1,1
10007788,University of Cambridge,220,D,28,Modern Languages and Linguistics, ,,,Overall,96.53,40,42,16,2,0
10007788,University of Cambridge,220,D,29,English Language and Literature, ,,,Overall,66.6,34,48,16,2,0
10007788,University of Cambridge,220,D,30,History, ,,,Overall,115.1,44,37,18,1,0
10007788,University of Cambridge,220,D,31,Classics, ,,,Overall,38.5,53,36,10,1,0
10007788,University of Cambridge,220,D,32,Philosophy,A,Philosophy,,Overall,18.2,30,49,18,3,0
10007788,University of Cambridge,220,D,32,Philosophy,B,History and Philosophy of science,,Overall,34.96,41,40,16,3,0
10007788,University of Cambridge,220,D,33,Theology and Religious Studies, ,,,Overall,24.4,34,46,19,0,1
10007788,University of Cambridge,220,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,22.4,34,42,20,4,0
10003324,Institute of Cancer Research,230,A,1,Clinical Medicine, ,,,Overall,69.09,46,43,10,0,1
10003324,Institute of Cancer Research,230,A,5,Biological Sciences, ,,,Overall,34,58,39,3,0,0
10001143,Canterbury Christ Church University,240,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,13.9,6,46,46,2,0
10001143,Canterbury Christ Church University,240,A,6,"Agriculture, Veterinary and Food Science", ,,,Overall,12.5,2,31,48,17,2
10001143,Canterbury Christ Church University,240,C,21,Politics and International Studies, ,,,Overall,14.5,1,11,51,31,6
10001143,Canterbury Christ Church University,240,C,25,Education, ,,,Overall,21.6,5,50,32,13,0
10001143,Canterbury Christ Church University,240,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,14.8,17,49,26,8,0
10001143,Canterbury Christ Church University,240,D,29,English Language and Literature, ,,,Overall,11.8,5,40,46,9,0
10001143,Canterbury Christ Church University,240,D,30,History, ,,,Overall,14,5,55,38,2,0
10001143,Canterbury Christ Church University,240,D,33,Theology and Religious Studies, ,,,Overall,6,6,47,40,7,0
10001143,Canterbury Christ Church University,240,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,13.6,15,29,40,12,4
10001143,Canterbury Christ Church University,240,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,14.3,5,31,52,11,1
10007141,University of Central Lancashire,250,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,49.56,11,48,35,5,1
10007141,University of Central Lancashire,250,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,17.6,13,42,41,4,0
10007141,University of Central Lancashire,250,B,9,Physics, ,,,Overall,20.91,6,53,35,6,0
10007141,University of Central Lancashire,250,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Overall,8,2,38,56,2,2
10007141,University of Central Lancashire,250,B,15,General Engineering, ,,,Overall,11.6,3,61,32,4,0
10007141,University of Central Lancashire,250,C,16,"Architecture, Built Environment and Planning", ,,,Overall,9.9,3,28,60,7,2
10007141,University of Central Lancashire,250,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,8,4,21,55,20,0
10007141,University of Central Lancashire,250,C,19,Business and Management Studies, ,,,Overall,11.45,10,31,48,11,0
10007141,University of Central Lancashire,250,C,20,Law, ,,,Overall,10.8,5,35,51,9,0
10007141,University of Central Lancashire,250,C,22,Social Work and Social Policy, ,,,Overall,27.32,7,50,37,6,0
10007141,University of Central Lancashire,250,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,21.2,5,38,46,8,3
10007141,University of Central Lancashire,250,D,28,Modern Languages and Linguistics, ,,,Overall,10.6,20,43,32,5,0
10007141,University of Central Lancashire,250,D,29,English Language and Literature, ,,,Overall,7.2,8,50,36,6,0
